bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
0263,0.06271017,64.34,63.34,66.65
0264,0.07385872,75.78,74.6,77.63
0265,0.07231976,74.2,73.04,76.12
0266,0.0782897,80.33,79.07,82.0
0267,0.07243536,74.32,73.16,76.23
0268,0.07182374,73.69,72.54,75.63
0269,0.08446368,86.66,85.31,88.08
0270,0.06888882,70.68,69.58,72.73
0271,0.07194586,73.82,72.67,75.75
0272,0.07154103,73.4,72.26,75.35
0273,0.07318307,75.09,73.91,76.97
0274,0.06459224,66.27,65.24,68.5
0275,0.07122156,73.07,71.93,75.03
0276,0.0655214,67.22,66.18,69.42
0277,0.07511085,77.06,75.86,78.86
0278,0.08277351,84.93,83.6,86.41
0279,0.06627912,68.0,66.94,70.16
0280,0.08732225,89.59,88.2,90.9
0281,0.10197255,104.62,102.99,105.33
0282,0.0651503,66.84,65.8,69.05
0283,0.06482938,66.51,65.48,68.74
0284,0.09574931,98.24,96.71,99.2
0285,0.08537514,87.59,86.23,88.98
0286,0.07955309,81.62,80.35,83.24
0287,0.07808954,80.12,78.87,81.8
0288,0.06939487,71.2,70.09,73.23
0289,0.06869077,70.48,69.38,72.54
0290,0.08143792,83.56,82.25,85.1
0291,0.08344034,85.61,84.27,87.07
0292,0.07542006,77.38,76.17,79.17
0293,0.07150298,73.36,72.22,75.31
0294,0.08844014,90.74,89.32,92.0
0295,0.07756439,79.58,78.34,81.28
0296,0.08771806,90.0,88.6,91.29
0297,0.08682545,89.08,87.69,90.41
0298,0.07772284,79.74,78.5,81.44
0299,0.07042131,72.25,71.13,74.24
0300,0.07324707,75.15,73.98,77.03
0301,0.06954987,71.36,70.25,73.39
0302,0.07777325,79.8,78.55,81.49
0303,0.09702137,99.54,97.99,100.45
0304,0.07514956,77.1,75.9,78.9
0305,0.07402047,75.95,74.76,77.79
0306,0.0688074,70.6,69.5,72.65
0307,0.07054696,72.38,71.25,74.37
0308,0.06909768,70.89,69.79,72.94
0309,0.06777351,69.54,68.45,71.64
0310,0.0787756,80.82,79.56,82.48
0311,0.05943918,60.98,60.03,63.42
0312,0.07712091,79.13,77.89,80.85
0313,0.07543957,77.4,76.19,79.19
0314,0.05203952,53.39,52.56,56.13
0315,0.07463051,76.57,75.38,78.39
0316,0.09494465,97.41,95.89,98.41
0317,0.07992674,82.0,80.73,83.61
0318,0.06667206,68.41,67.34,70.55
0319,0.06184831,63.46,62.47,65.8
