bodyID,weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth,biacromialbreadth,scyecircoveracromion
ANSURI_mal_0164,84.71,185.31,41.6,98.11,88.21,102.63,119.35,60.52,39.97,38.3,22.25,29.8,17.87,16.03,61.93,28.92,89.71,42.05,46.19,23.35,59.48,0.0,0.0
ANSURI_mal_0165,79.74,182.25,41.41,100.04,83.93,98.09,114.99,59.44,38.63,39.51,21.87,30.3,17.28,13.61,63.31,29.23,91.57,43.44,45.02,23.93,57.01,0.0,0.0
ANSURI_mal_0166,74.44,172.68,41.78,96.39,86.29,97.27,117.98,57.53,38.63,36.62,21.36,29.28,16.77,14.78,58.59,26.37,78.77,41.83,40.29,21.28,57.01,0.0,0.0
ANSURI_mal_0167,79.95,173.12,42.13,104.08,85.13,98.66,119.81,59.79,40.57,39.0,24.19,31.36,18.36,13.79,58.58,26.33,83.44,42.55,39.12,24.93,56.87,0.0,0.0
ANSURI_mal_0168,86.83,180.5,43.99,99.57,87.16,104.12,123.13,63.28,42.68,39.97,22.31,32.23,17.44,14.97,62.86,29.14,89.19,41.84,44.14,24.01,56.3,0.0,0.0
ANSURI_mal_0169,89.18,186.92,42.36,97.06,89.0,105.92,119.79,61.98,42.7,41.14,23.88,29.45,18.38,15.95,66.1,29.97,90.12,42.66,41.97,22.51,60.2,0.0,0.0
ANSURI_mal_0170,77.99,172.67,43.26,100.88,85.14,98.05,120.1,60.38,39.89,39.46,22.63,30.05,16.55,14.77,58.58,27.62,83.72,39.15,40.91,24.1,58.2,0.0,0.0
ANSURI_mal_0171,64.52,169.38,39.58,92.64,78.24,90.83,110.53,54.21,35.04,36.61,20.82,28.39,15.85,13.56,58.06,25.78,83.66,39.35,41.39,22.77,57.6,0.0,0.0
ANSURI_mal_0172,78.39,181.17,40.26,97.99,87.66,98.89,115.39,56.63,38.87,35.99,22.35,29.68,17.47,14.36,59.33,27.14,87.63,41.32,44.72,24.17,56.82,0.0,0.0
ANSURI_mal_0173,66.38,167.06,40.09,90.18,75.2,92.75,111.61,56.99,40.84,38.06,21.68,28.39,17.38,15.23,58.63,28.4,77.82,41.52,40.15,21.03,56.85,0.0,0.0
ANSURI_mal_0174,63.41,178.84,38.15,87.01,70.05,88.96,114.41,52.11,35.9,34.62,22.13,27.56,16.8,15.77,60.99,27.62,86.09,41.5,43.33,19.39,57.31,0.0,0.0
ANSURI_mal_0175,67.98,169.47,39.36,92.88,79.32,95.77,106.55,58.1,38.93,35.83,21.99,28.14,16.23,12.37,57.78,25.65,80.23,40.43,40.09,22.35,56.85,0.0,0.0
ANSURI_mal_0176,77.4,171.56,41.0,101.18,90.23,97.58,114.63,56.88,39.79,38.54,20.88,31.48,17.68,14.78,58.75,27.02,79.23,41.83,41.6,24.31,57.24,0.0,0.0
ANSURI_mal_0177,67.6,176.62,40.27,92.12,77.01,91.79,109.74,53.79,37.92,36.0,21.29,28.17,16.53,13.68,61.51,26.86,86.53,42.2,45.17,21.95,57.63,0.0,0.0
ANSURI_mal_0178,70.65,166.5,41.45,93.62,77.22,96.38,116.24,57.97,39.95,40.59,23.33,28.91,16.62,16.09,55.93,25.78,75.51,41.99,38.65,23.08,56.39,0.0,0.0
ANSURI_mal_0179,83.75,184.16,42.61,98.57,89.49,99.53,114.29,60.3,42.21,37.83,23.73,30.69,17.95,13.11,63.04,29.03,91.51,43.79,45.31,24.07,57.83,0.0,0.0
ANSURI_mal_0180,74.18,181.61,40.09,91.9,81.74,96.29,112.86,57.28,39.42,35.82,20.83,29.16,17.13,15.03,63.83,29.2,88.37,42.85,44.82,21.8,57.74,0.0,0.0
ANSURI_mal_0181,73.09,171.25,40.96,98.41,79.17,96.02,115.73,59.25,39.24,39.77,21.98,29.58,16.86,14.31,58.7,27.31,80.9,38.77,41.08,22.73,55.77,0.0,0.0
ANSURI_mal_0182,73.58,170.76,42.59,97.44,83.57,95.23,117.28,57.84,39.52,36.47,22.58,30.31,17.48,14.93,56.99,25.11,79.94,40.81,39.55,22.91,59.8,0.0,0.0
ANSURI_mal_0183,69.39,175.16,41.79,95.48,76.39,92.63,111.24,55.02,37.9,35.31,22.01,28.78,16.75,13.04,56.62,25.18,82.63,44.76,42.01,23.7,56.28,0.0,0.0
ANSURI_mal_0184,86.87,177.48,43.53,102.36,92.22,104.77,117.91,62.56,43.53,39.83,22.82,31.16,16.81,13.23,62.09,27.55,85.03,41.08,43.33,24.66,57.6,0.0,0.0
ANSURI_mal_0185,86.21,169.83,42.84,109.66,94.93,103.81,117.83,60.87,42.82,39.35,24.88,30.41,18.57,13.84,56.08,26.72,77.14,43.26,37.1,27.22,58.47,0.0,0.0
ANSURI_mal_0186,67.22,172.89,39.13,90.14,76.97,93.37,113.4,55.64,38.14,34.61,22.49,27.23,17.07,15.06,58.05,25.93,80.9,41.8,40.68,21.88,54.93,0.0,0.0
ANSURI_mal_0187,92.35,172.48,44.59,112.85,95.03,104.56,125.8,62.27,44.21,41.46,25.56,32.08,19.07,14.38,55.85,24.64,76.96,41.62,38.24,27.53,60.22,0.0,0.0
ANSURI_mal_0188,77.29,170.83,39.3,96.99,88.82,101.18,113.59,63.08,42.05,37.5,23.47,28.9,17.06,13.97,57.46,25.68,82.0,39.05,40.78,23.49,55.71,0.0,0.0
ANSURI_mal_0189,66.9,172.03,39.25,91.7,84.66,94.21,108.13,53.98,37.27,34.34,20.32,27.42,16.64,13.68,56.57,25.31,82.33,40.07,42.11,21.78,55.38,0.0,0.0
ANSURI_mal_0190,71.67,176.57,40.21,96.65,78.58,95.16,111.9,57.24,35.95,37.67,22.22,31.84,17.16,14.03,60.49,28.69,88.93,40.89,45.3,22.52,54.14,0.0,0.0
ANSURI_mal_0191,98.56,187.15,45.29,106.5,93.03,107.82,127.52,65.26,43.29,41.76,22.8,33.31,18.74,14.89,67.28,31.1,91.67,43.22,46.65,25.05,59.34,0.0,0.0
ANSURI_mal_0192,62.45,169.71,38.98,94.81,73.96,88.45,108.06,51.89,36.55,37.48,22.35,26.59,15.9,14.24,57.62,25.48,83.0,38.81,41.66,21.95,57.26,0.0,0.0
ANSURI_mal_0193,73.26,176.09,40.06,93.93,81.31,96.35,115.6,57.1,40.76,37.9,22.76,28.84,17.77,14.93,61.02,27.14,87.0,40.08,43.61,21.55,57.0,0.0,0.0
ANSURI_mal_0194,83.43,180.36,40.72,101.92,88.49,100.38,116.17,62.43,42.02,38.12,23.09,30.09,16.56,15.18,61.71,27.95,87.83,43.39,43.84,24.95,56.26,0.0,0.0
ANSURI_mal_0195,105.2,186.15,43.82,115.86,103.81,111.86,124.18,68.28,43.25,42.09,23.15,31.04,18.04,16.68,61.79,28.84,90.13,44.55,45.01,29.03,58.02,0.0,0.0
ANSURI_mal_0196,91.65,185.3,41.0,102.34,92.55,106.0,120.07,63.84,43.35,39.32,23.88,30.45,18.16,15.09,64.27,28.82,87.81,46.58,44.88,23.71,56.32,0.0,0.0
ANSURI_mal_0197,70.91,177.17,39.43,92.22,81.94,97.46,109.52,56.7,37.47,35.56,20.88,27.26,16.76,14.72,61.33,27.82,84.9,42.69,43.41,21.5,55.97,0.0,0.0
ANSURI_mal_0198,80.83,174.7,41.36,102.26,86.16,100.31,115.37,61.83,40.77,39.49,22.71,31.27,17.43,14.13,59.13,26.3,82.12,44.53,42.78,24.1,56.96,0.0,0.0
ANSURI_mal_0199,79.36,174.08,40.78,96.63,89.0,101.08,113.78,61.94,41.41,39.82,23.87,29.0,17.84,14.69,59.16,26.67,81.12,40.8,41.96,21.82,58.22,0.0,0.0
ANSURI_mal_0200,76.07,174.19,41.77,94.16,85.16,98.37,113.35,61.01,40.75,38.44,21.46,28.84,17.02,14.94,59.63,27.73,82.84,41.35,42.71,23.02,57.82,0.0,0.0
ANSURI_mal_0201,76.44,177.08,41.6,100.53,86.35,95.82,117.58,56.8,36.68,35.94,21.7,29.73,16.8,15.55,60.63,27.06,84.33,42.4,43.57,24.5,56.92,0.0,0.0
ANSURI_mal_0202,66.83,176.22,38.94,89.7,78.41,92.12,107.46,53.94,37.77,34.96,22.24,28.27,17.79,15.3,59.54,27.12,85.33,42.95,42.53,21.66,56.48,0.0,0.0
ANSURI_mal_0203,88.51,175.37,42.12,103.33,97.39,104.11,117.75,63.6,42.96,40.31,23.76,30.44,18.02,14.81,58.79,25.42,79.49,44.36,40.14,25.19,57.3,0.0,0.0
ANSURI_mal_0204,69.5,171.17,39.8,91.94,85.15,95.6,109.03,54.13,37.04,36.4,21.57,29.14,17.62,13.5,56.02,25.57,77.27,43.21,38.97,21.38,56.52,0.0,0.0
ANSURI_mal_0205,77.37,178.49,39.15,94.2,81.27,100.89,114.61,60.68,40.64,39.94,23.14,29.05,17.39,15.36,62.15,27.73,88.54,42.48,45.32,22.07,55.78,0.0,0.0
ANSURI_mal_0206,67.66,170.98,39.25,91.99,80.47,92.45,107.87,57.14,37.67,37.43,22.13,28.77,16.82,14.52,59.7,27.04,82.99,40.99,41.51,22.09,56.93,0.0,0.0
