stature_cm,weight_kg,chest_circumference,buttock_circumference,waist_circumference,thigh_circumference,ankle_circumference,biacromial_breadth,knee_height_sitting,calf_circumference,arm_circumference_flexed
173.5,79.2,99.2,98.8,87.5,60.6,22.3,40.5,55.3,37.7,33.1
187.8,84.4,98.8,96.7,80.4,58.5,24.3,40.2,61.2,40.5,37.6
174.0,74.6,100.0,96.8,89.5,57.6,21.7,41.4,54.4,37.9,31.5
173.8,74.0,92.8,96.2,81.5,55.2,22.0,40.5,56.6,36.5,31.7
183.7,88.7,109.6,102.0,91.8,62.1,23.1,41.7,58.6,38.3,34.2
174.3,83.6,101.2,102.1,89.8,63.7,23.5,38.2,53.7,39.0,34.4
186.9,84.2,98.6,103.5,81.0,63.5,23.2,41.0,60.5,39.0,35.8
183.3,81.0,99.9,97.2,83.9,56.5,23.4,42.4,60.7,39.3,32.9
164.4,71.7,100.5,95.2,85.7,59.7,19.6,37.7,52.0,34.4,35.8
177.1,81.1,99.8,102.8,83.8,63.7,22.8,38.9,53.4,38.0,34.4
177.8,92.7,109.7,104.8,94.8,62.9,24.5,42.0,56.4,40.8,38.0
190.7,86.3,102.4,99.0,83.9,61.3,23.2,42.7,62.0,39.0,33.7
180.6,65.1,91.9,89.9,76.7,49.7,21.0,41.3,58.4,34.8,30.0
191.3,88.8,99.3,104.5,83.1,62.3,24.9,42.6,61.3,41.2,33.4
187.9,74.8,102.3,94.0,78.5,55.9,22.5,41.0,59.1,36.8,31.5
182.5,80.0,102.7,98.6,86.8,55.8,21.9,38.9,57.0,36.0,30.6
169.0,63.0,89.5,91.5,76.6,53.2,21.7,38.5,52.7,37.5,29.4
178.9,88.9,105.1,106.7,93.7,65.1,23.2,36.2,56.9,41.3,33.0
179.9,71.1,92.1,94.5,72.9,55.2,21.9,42.7,58.4,36.4,32.2
179.5,83.6,104.9,100.6,91.1,58.2,22.1,42.9,57.0,38.9,34.2
174.1,84.2,101.6,104.7,91.1,66.5,23.8,41.0,54.5,40.8,32.9
177.5,76.3,98.3,96.6,80.0,58.9,23.1,42.7,57.7,36.8,33.5
172.4,69.5,95.6,92.7,80.3,52.5,22.5,38.6,55.5,36.5,31.5
167.1,74.4,105.3,101.4,87.5,57.2,21.6,41.5,51.3,37.7,32.2
178.5,81.4,101.2,101.9,85.7,65.0,23.3,40.5,55.9,38.7,33.1
179.5,72.0,90.5,91.6,75.9,56.8,21.9,41.5,56.0,37.9,31.9
174.1,64.2,92.6,90.4,79.6,51.4,20.2,37.5,54.6,32.0,30.3
169.6,68.8,91.8,90.8,79.6,55.6,21.7,38.7,56.4,35.7,32.8
179.0,88.5,103.6,105.3,92.8,63.0,24.3,42.0,56.9,43.1,32.5
176.1,81.3,100.1,97.2,80.3,59.5,22.4,41.1,57.0,38.9,38.2
161.4,54.5,84.7,86.1,73.7,51.1,20.2,33.9,48.2,33.5,26.5
186.0,102.2,110.9,109.0,95.5,67.3,25.9,41.9,59.3,43.9,38.3
172.6,66.5,88.5,93.8,75.0,55.6,22.9,37.8,57.0,36.2,29.9
177.4,71.6,95.0,94.5,84.0,56.1,22.2,39.4,57.2,37.2,28.9
176.3,72.0,96.0,93.9,74.8,53.9,22.6,36.2,55.6,35.7,29.7
181.5,86.7,100.2,103.1,82.4,63.7,22.0,42.9,58.4,38.0,35.2
172.8,85.4,106.0,101.8,92.4,63.1,24.3,40.8,53.9,40.5,35.8
170.3,77.1,97.1,98.9,85.6,59.3,22.0,41.1,54.3,36.1,34.1
177.0,88.1,93.6,103.8,86.6,64.4,23.3,40.9,55.7,40.6,36.5
170.4,78.8,104.2,100.8,94.3,60.7,21.7,42.2,54.5,37.1,30.8
175.7,83.0,102.8,102.4,88.8,62.5,23.7,41.6,55.0,39.6,33.2
175.0,81.9,101.6,103.5,92.1,61.2,22.7,37.5,54.2,38.1,33.2
179.8,67.8,89.8,92.0,76.3,52.6,19.9,41.1,54.4,34.4,31.6
180.7,91.4,107.2,105.7,90.0,65.8,25.2,40.1,60.6,41.9,36.0
162.3,54.0,89.1,82.7,70.3,47.1,20.6,37.5,51.2,33.8,27.1
165.4,73.4,99.1,96.1,81.7,59.3,21.9,37.1,52.4,37.0,31.9
184.7,79.2,91.5,100.1,79.7,59.9,23.5,41.4,61.0,40.0,28.3
170.3,69.4,94.5,95.3,76.3,59.8,21.9,37.2,54.6,36.0,32.4
177.1,79.7,94.6,99.6,83.4,57.8,24.1,43.0,56.9,38.8,32.7
173.9,80.9,107.9,98.9,91.6,58.3,21.2,41.1,54.4,35.8,32.4
177.5,79.1,97.6,100.5,84.4,62.9,21.6,41.0,58.1,36.0,32.5
170.1,89.8,106.4,103.8,92.6,68.9,22.7,39.6,54.3,39.0,38.5
176.6,67.2,92.5,93.2,76.3,53.7,23.0,39.2,55.5,37.1,29.5
179.7,89.0,111.2,103.7,96.5,62.7,23.2,40.4,56.9,38.6,33.6
185.6,85.5,99.2,102.3,89.1,60.7,22.3,40.4,58.6,38.6,33.6
183.1,78.5,101.1,97.6,82.5,60.3,21.9,39.9,61.1,39.6,31.8
174.2,75.9,97.6,97.2,84.4,58.2,21.5,41.6,53.1,36.8,31.1
173.9,79.4,105.3,98.5,85.0,61.1,24.3,38.3,55.1,39.1,33.8
181.1,89.4,100.1,104.1,87.5,64.0,22.3,41.7,58.6,40.3,34.5
187.0,89.0,98.2,106.4,86.0,63.4,23.8,42.1,60.3,41.2,32.7
172.9,79.0,102.0,97.6,84.1,61.5,22.6,39.9,55.8,39.7,34.3
169.5,65.1,93.3,90.3,79.2,54.8,20.9,36.2,55.1,36.9,31.4
182.6,78.1,98.9,98.2,91.0,56.3,22.5,35.4,56.6,36.3,31.8
167.5,68.7,91.3,92.8,77.3,57.8,21.6,40.3,52.2,38.0,31.5
179.1,66.2,88.0,88.3,71.8,51.6,22.2,42.3,54.8,34.7,29.8
171.1,69.8,94.0,95.5,77.8,59.1,22.2,35.7,54.1,35.8,33.2
173.0,77.6,102.6,97.3,90.6,57.1,21.0,38.7,54.0,38.7,35.8
177.3,69.0,93.1,91.3,76.2,53.5,21.5,37.5,56.2,36.0,31.4
167.6,72.7,94.2,96.8,78.4,58.9,23.3,42.4,51.5,41.0,33.2
185.3,83.5,99.2,98.6,89.6,60.9,23.9,37.7,62.2,37.7,34.4
182.4,75.7,92.7,95.8,83.9,57.6,20.9,41.4,57.2,35.8,32.0
172.8,75.4,100.2,95.4,82.1,60.2,22.0,39.5,55.7,39.9,34.9
171.0,76.4,98.5,94.7,85.5,58.7,22.8,41.7,54.2,36.6,32.2
177.7,69.6,95.8,92.0,76.2,55.2,22.2,39.3,54.3,35.6,34.4
178.9,87.9,103.5,104.6,87.9,63.2,23.0,39.2,59.1,39.9,35.7
170.8,91.0,110.9,104.2,92.0,62.3,24.9,38.8,53.1,39.4,34.7
174.6,68.0,90.7,93.0,75.7,56.1,22.6,39.8,54.4,34.8,32.1
173.8,95.7,114.4,104.0,97.0,63.1,25.7,41.0,52.2,41.7,36.8
171.9,77.6,98.3,100.6,86.5,64.0,23.7,39.5,55.7,37.5,31.9
173.5,68.2,92.7,93.9,84.0,53.8,20.5,38.0,54.1,34.6,29.8
177.2,75.5,98.1,94.7,79.7,57.8,22.4,38.4,58.0,37.7,35.4
187.3,102.6,107.6,107.7,94.3,66.1,22.8,41.8,61.2,41.9,40.7
169.7,64.9,96.8,87.9,76.5,52.0,22.5,41.0,53.6,37.4,32.0
175.8,74.9,95.4,96.2,79.1,57.3,22.9,39.5,57.7,37.9,33.2
181.7,83.0,103.1,99.4,84.0,63.2,23.3,38.3,58.9,38.0,35.2
187.0,104.9,117.1,111.4,101.3,68.9,23.2,42.5,60.2,42.3,37.8
186.8,93.5,103.7,105.9,89.6,64.6,24.1,42.0,60.1,39.2,34.7
178.4,70.9,93.4,97.8,80.8,57.3,21.0,40.1,55.0,35.6,28.9
176.3,80.5,103.7,100.0,82.7,62.6,23.0,39.7,56.0,39.5,34.3
174.9,80.4,98.4,100.8,87.6,63.0,24.1,39.9,54.9,39.7,32.0
175.2,77.6,94.8,97.9,81.3,61.9,21.5,39.6,56.0,38.6,31.2
178.4,74.5,101.6,95.1,85.7,57.3,21.9,40.3,57.3,36.1,33.2
176.9,68.1,90.5,91.8,77.9,54.2,22.4,39.6,55.4,34.9,30.3
177.6,88.3,104.3,103.5,93.5,64.6,24.0,40.1,54.0,40.4,34.4
173.3,71.8,92.8,95.8,85.1,54.6,21.7,39.4,52.2,36.7,32.2
178.4,79.9,95.5,101.2,78.8,61.2,23.3,38.9,58.2,40.0,33.5
171.5,67.8,93.1,91.8,80.8,58.3,22.3,37.4,53.6,37.3,31.0
177.8,68.7,91.8,94.9,75.1,53.8,22.0,41.3,58.3,37.0,28.5
175.7,93.3,109.8,107.8,96.7,67.8,23.6,41.4,57.6,40.6,36.2
178.0,83.5,105.1,105.9,90.6,63.3,21.6,40.6,56.0,35.8,33.2
179.4,66.1,88.3,87.1,73.4,54.2,22.0,38.5,57.9,35.0,28.8
175.2,76.5,97.6,96.4,80.4,59.6,23.9,40.2,53.1,38.1,33.7
180.5,66.0,91.2,92.0,71.8,51.2,21.6,40.5,54.7,35.8,26.8
180.3,81.3,96.7,101.6,81.1,64.6,22.2,39.2,61.7,37.6,33.3
185.5,80.9,104.5,95.5,84.7,58.5,22.8,40.6,62.1,37.3,37.1
186.4,70.2,88.7,94.2,77.8,52.9,21.9,43.7,58.8,35.3,30.3
171.4,61.5,90.5,89.1,72.7,52.2,21.6,39.2,51.6,34.2,29.2
180.3,87.2,101.7,103.9,84.5,62.9,23.6,39.3,57.8,39.0,37.5
176.2,79.7,100.4,99.4,82.5,62.8,21.8,41.6,58.5,39.7,32.8
182.3,104.2,112.8,108.0,100.6,67.3,25.3,41.8,55.2,42.3,35.6
177.9,68.3,99.8,95.0,77.0,52.2,20.6,39.6,56.3,35.6,31.0
189.4,86.5,99.3,103.6,85.3,62.5,25.1,40.0,60.8,41.3,33.4
176.2,92.0,112.3,107.2,100.2,65.9,22.9,40.7,57.6,39.9,37.1
188.2,90.8,111.9,98.5,87.2,58.9,24.2,44.1,60.6,40.4,41.8
183.6,75.5,91.9,97.1,76.0,58.3,23.3,40.4,58.8,37.5,31.0
166.0,68.0,89.2,95.2,79.6,57.4,23.2,37.0,50.1,38.0,30.7
167.3,69.8,96.6,92.0,84.1,56.1,22.4,38.8,51.4,38.7,32.5
187.1,80.6,93.5,98.4,78.9,59.3,22.9,40.5,60.1,37.6,31.7
174.6,85.3,101.1,101.4,93.8,64.2,22.4,42.8,55.4,38.5,34.2
174.9,73.2,95.8,95.7,76.6,58.7,22.9,38.8,55.3,37.5,33.8
173.0,80.6,97.7,101.2,85.5,60.6,23.3,40.5,53.6,39.0,34.3
177.2,79.4,93.9,100.2,83.4,62.1,21.5,36.8,57.8,38.3,32.9
162.9,60.3,86.5,89.5,74.8,53.7,20.0,37.1,49.9,33.5,30.0
165.4,60.8,92.9,90.0,75.0,52.5,21.2,37.2,50.1,34.5,30.9
179.2,87.9,103.9,101.4,90.2,63.8,22.8,41.9,59.4,38.2,34.0
183.9,76.8,92.8,97.0,79.3,57.5,23.6,41.6,59.3,38.5,31.5
168.9,74.1,103.3,96.8,84.2,59.6,21.1,38.7,53.7,37.5,33.4
176.2,69.6,95.6,96.0,78.4,54.3,23.8,38.5,56.5,34.6,30.0
175.6,74.0,95.6,94.4,84.3,56.9,21.7,38.4,55.2,34.6,32.5
