stature_cm,weight_kg,chest_circumference,buttock_circumference,waist_circumference,thigh_circumference,ankle_circumference,biacromial_breadth,knee_height_sitting,calf_circumference,arm_circumference_flexed
152.6,52.2,81.0,87.6,72.1,53.1,21.4,35.2,47.4,34.8,28.0
173.2,76.7,99.1,106.9,90.8,65.6,21.3,37.1,54.2,39.0,34.9
162.4,66.1,98.5,103.0,88.0,58.6,20.4,37.8,49.9,34.5,27.2
150.7,50.5,84.4,90.2,75.9,54.2,19.3,34.2,45.0,34.2,29.2
156.0,63.7,96.5,103.3,91.9,61.8,21.1,34.7,48.6,37.3,32.3
164.0,66.6,98.5,98.0,90.8,60.7,21.6,36.9,51.9,37.3,32.6
167.5,61.0,86.2,96.5,73.1,57.2,22.1,36.5,52.4,36.2,28.6
152.6,58.1,86.3,97.5,82.0,59.7,22.0,35.0,47.1,36.2,28.7
162.3,60.9,87.0,93.2,82.1,60.1,21.2,37.0,50.4,36.3,29.0
158.4,57.5,81.5,105.4,74.0,63.4,20.1,35.4,48.7,37.2,29.9
167.1,79.7,105.7,110.0,102.4,66.4,22.4,38.4,51.9,39.8,30.2
155.2,74.5,113.7,109.0,93.2,66.5,20.4,33.8,46.6,36.9,34.9
163.3,61.4,87.4,98.1,82.7,58.3,20.8,35.9,49.8,36.8,30.0
153.0,67.7,100.4,106.1,89.6,63.4,21.7,35.6,47.4,38.4,31.2
160.6,50.8,84.4,96.8,73.8,54.9,20.5,37.2,49.5,32.0,23.8
161.7,63.3,95.0,103.3,83.2,61.2,21.8,35.7,52.3,35.3,29.7
164.5,71.1,101.3,104.2,85.1,65.7,24.0,36.4,49.5,39.3,29.9
168.1,72.7,96.0,104.9,85.9,65.8,22.0,38.7,53.6,39.1,31.1
165.5,67.9,99.2,105.0,90.6,57.8,22.1,36.4,50.1,37.1,29.5
162.6,83.3,106.9,113.6,102.8,70.2,23.0,36.5,51.5,40.6,34.2
163.5,62.2,83.8,99.0,78.6,59.7,23.5,35.0,51.3,38.0,29.2
157.2,61.6,96.2,96.6,85.3,59.4,20.1,35.9,48.6,33.8,31.0
160.8,57.3,89.9,95.0,74.5,57.0,22.4,37.2,48.9,36.2,27.0
166.2,50.7,82.8,92.5,73.7,52.7,21.1,35.6,50.7,32.4,25.6
158.2,61.1,94.0,99.8,80.2,59.4,21.0,38.8,47.7,35.5,27.8
170.1,86.6,115.6,111.4,104.5,69.0,22.0,40.5,54.8,35.6,36.7
160.2,52.3,88.6,92.5,76.3,52.5,19.1,36.6,47.0,31.6,28.0
154.9,67.6,99.1,109.0,95.5,63.5,20.0,36.9,47.8,35.0,28.7
156.1,54.9,89.9,92.0,71.9,57.0,18.8,33.5,48.8,33.3,28.0
167.7,57.1,88.9,93.5,74.6,54.6,19.8,36.9,54.4,33.8,28.3
159.4,64.4,90.7,103.5,87.4,64.2,21.7,35.1,49.1,37.7,32.3
162.8,64.9,94.0,101.8,77.2,63.4,21.6,34.9,49.4,35.7,30.5
154.9,59.2,94.9,97.2,80.2,56.9,21.3,34.8,46.0,36.4,26.6
155.9,56.3,86.6,97.4,71.9,56.5,22.3,36.2,46.9,36.5,27.1
161.9,58.0,90.7,95.5,86.2,53.2,20.0,36.6,48.3,33.3,27.1
169.0,81.0,98.3,108.8,104.4,66.1,21.3,37.1,53.4,38.5,35.1
169.8,64.9,89.5,100.1,81.7,59.6,23.1,37.7,50.4,40.5,28.9
170.5,65.4,89.2,99.7,81.7,57.8,22.0,37.0,51.8,35.0,30.9
162.5,57.0,87.5,95.5,81.6,57.6,21.7,33.8,50.3,33.6,25.9
166.6,80.5,101.2,113.9,93.9,69.7,22.6,37.1,52.4,38.3,32.4
155.9,67.1,102.6,103.5,86.3,64.1,22.1,34.2,48.1,39.3,31.4
159.5,67.3,97.7,106.4,91.5,64.7,21.0,36.1,48.9,36.4,28.1
163.4,55.0,81.2,93.2,76.4,56.2,18.7,37.0,50.0,33.8,25.9
164.3,70.8,91.3,106.8,89.9,68.4,20.5,36.4,53.3,37.4,30.3
