weight,stature,calf_circumference,biacromial_breadth,bicristal_breadth,waist_circumference,biceps_circumference_flexed
566.0,1611.0,330.0,348.0,191.0,747.0,253.0
529.0,1620.0,344.0,363.0,213.0,684.0,280.0
578.0,1624.0,345.0,368.0,216.0,736.0,265.0
554.0,1623.0,359.0,364.0,216.0,709.0,251.0
559.0,1575.0,315.0,348.0,257.0,855.0,275.0
606.0,1704.0,341.0,342.0,238.0,764.0,290.0
670.0,1730.0,327.0,382.0,230.0,831.0,295.0
520.0,1559.0,334.0,357.0,195.0,742.0,256.0
634.0,1693.0,354.0,380.0,198.0,755.0,262.0
532.0,1577.0,318.0,350.0,252.0,827.0,241.0
655.0,1684.0,358.0,382.0,228.0,860.0,290.0
700.0,1738.0,356.0,380.0,228.0,867.0,290.0
741.0,1819.0,365.0,412.0,285.0,895.0,277.0
670.0,1657.0,371.0,367.0,235.0,781.0,307.0
576.0,1634.0,348.0,357.0,235.0,741.0,266.0
644.0,1695.0,337.0,370.0,211.0,818.0,273.0
685.0,1577.0,374.0,355.0,232.0,1045.0,299.0
582.0,1676.0,332.0,369.0,243.0,769.0,265.0
574.0,1647.0,358.0,348.0,229.0,764.0,262.0
677.0,1610.0,382.0,351.0,202.0,855.0,320.0
673.0,1726.0,385.0,381.0,221.0,820.0,280.0
615.0,1640.0,355.0,388.0,193.0,765.0,270.0
518.0,1558.0,333.0,363.0,215.0,794.0,255.0
676.0,1591.0,339.0,365.0,225.0,929.0,284.0
700.0,1687.0,336.0,386.0,238.0,912.0,303.0
587.0,1608.0,350.0,359.0,247.0,824.0,285.0
695.0,1617.0,393.0,360.0,243.0,942.0,291.0
630.0,1614.0,341.0,381.0,214.0,807.0,274.0
611.0,1691.0,343.0,364.0,242.0,777.0,280.0
636.0,1665.0,355.0,354.0,211.0,837.0,261.0
871.0,1805.0,367.0,409.0,243.0,893.0,348.0
614.0,1676.0,338.0,373.0,218.0,806.0,281.0
617.0,1781.0,356.0,384.0,269.0,753.0,267.0
494.0,1507.0,330.0,386.0,192.0,670.0,265.0
668.0,1644.0,368.0,358.0,240.0,816.0,290.0
608.0,1620.0,340.0,347.0,200.0,785.0,286.0
625.0,1693.0,333.0,355.0,231.0,753.0,270.0
