Stature,Weight,BMI,Shoulder Breadth,Armscye Circumference,"Hip Breadth, Sitting","Hip Circumference, Maximum","Waist Circumference, Pref",Chest Circumference,Thigh Circumference,Ankle Circumference,Crotch Height,Knee Height,Arm Length (Spine to Wrist),Triceps Skinfold,Subscapular Skinfold,SH/S,Waist/Hip,Chest/Waist
1688,72.79,25.54623099,438,403,413.0,1073.0,793.0,966,612,237,807.0,545,823,31.5,27.0,0.501184834,0.739049394,1.21815889
1634,52.15,19.53215708,401,342,356.0,907.0,685.0,864,516,224,779.0,512,759,16.0,14.0,0.520195838,0.755237045,1.261313869
1548,62.36,26.02340938,404,347,417.0,1045.0,794.0,933,605,219,709.0,483,732,35.5,25.0,0.530361757,0.759808612,1.175062972
1624,77.32,29.31701813,445,414,437.0,1114.0,813.0,937,686,252,718.0,495,797,32.0,25.0,0.541871921,0.729802513,1.152521525
1654,74.6,27.26891242,449,377,413.0,1095.0,780.0,909,656,252,788.0,529,830,17.0,18.0,0.513905683,0.712328767,1.165384615
1680,58.5,20.72704082,393,342,379.0,961.0,729.0,919,560,241,819.0,538,844,18.0,15.5,0.494047619,0.758584807,1.260631001
1657,69.84,25.43660898,432,403,407.0,1035.0,739.0,1026,594,259,730.0,514,799,17.0,29.0,0.534097767,0.714009662,1.388362652
1554,66.21,27.41710271,426,385,388.0,993.0,832.0,1041,604,211,709.0,483,772,11.5,35.0,0.523809524,0.837865055,1.251201923
1628,65.08,24.55493242,414,342,408.0,1015.0,714.0,894,611,242,743.0,511,754,18.5,13.0,0.525184275,0.703448276,1.25210084
1643,79.59,29.48379466,428,405,423.0,1085.0,819.0,989,662,261,757.0,519,782,34.0,40.0,0.524041388,0.75483871,1.207570208
1569,51.93,21.09465541,402,333,363.0,933.0,677.0,863,531,218,729.0,484,743,13.0,15.0,0.530911409,0.725616292,1.274741507
1612,111.34,42.84707128,454,451,532.0,1371.0,1021.0,1150,855,265,727.0,507,800,58.0,64.0,0.525434243,0.744711889,1.126346719
1644,47.62,17.61918293,387,327,359.0,884.0,611.0,778,463,228,777.0,503,748,9.0,10.0,0.531021898,0.691176471,1.273322422
1695,104.99,36.54336457,455,454,456.0,1186.0,1034.0,1185,733,288,797.0,542,806,41.0,63.0,0.513864307,0.871838111,1.146034816
1747,74.6,24.44291613,432,375,422.0,1119.0,799.0,950,681,283,796.0,527,813,23.0,27.0,0.533485976,0.714030384,1.188986233
1524,60.77,26.16491344,420,417,382.0,973.0,807.0,972,569,221,661.0,466,760,26.5,39.0,0.551181102,0.829393628,1.204460967
1552,86.39,35.86576018,436,437,437.0,1088.0,994.0,1171,620,246,710.0,501,788,31.5,41.0,0.50128866,0.913602941,1.17806841
1579,53.74,21.55427414,413,347,378.0,966.0,674.0,824,546,232,745.0,506,789,19.0,17.5,0.514882837,0.697722567,1.222551929
1564,72.34,29.57365533,393,414,394.0,1073.0,892.0,1127,593,242,665.0,470,722,28.0,29.5,0.544757033,0.831314073,1.263452915
