weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth,biacromialbreadth,scyecircoveracromion
60.4,161.2,36.5,90.4,82.5,97.9,102.4,59.3,38.6,36.3,20.9,25.2,15.0,14.2,53.2,22.8,76.6,41.9,36.9,22.7,57.0,37.1,126.69442379182155
69.7,175.7,35.6,87.6,81.2,98.5,103.8,62.6,39.4,35.5,19.5,26.6,15.5,14.4,60.5,27.4,93.4,43.0,44.8,22.3,55.5,36.7,116.90977443609022
85.4,167.0,37.6,109.0,106.2,116.7,110.5,71.7,39.7,36.0,20.5,27.7,15.2,14.3,58.5,27.0,82.5,45.0,41.6,28.7,57.4,36.8,150.05666666666667
61.7,163.2,35.1,94.3,91.4,105.1,92.6,61.0,36.2,31.6,19.3,23.7,14.2,14.3,52.1,23.4,77.0,42.8,36.3,25.7,56.5,35.3,121.64349442379182
79.0,163.5,39.2,113.2,98.7,106.6,110.5,64.9,41.7,40.9,23.3,28.4,16.5,14.3,54.6,23.9,76.7,42.2,39.8,29.6,54.8,38.8,139.68589743589743
67.2,168.2,37.9,97.7,86.8,100.7,105.0,61.5,39.4,36.0,19.8,25.1,15.2,15.7,55.0,24.8,77.4,43.5,37.4,25.9,55.3,38.5,139.72536764705882
69.5,166.1,36.8,97.7,83.9,105.0,102.1,62.0,40.3,37.2,23.5,26.6,15.5,13.8,56.0,24.4,77.7,39.3,40.8,24.5,57.3,36.0,138.46690647482015
66.9,159.6,36.2,100.6,81.4,97.4,103.5,61.4,41.3,37.6,21.4,27.0,15.6,13.8,54.2,23.8,75.4,40.1,37.1,26.2,56.3,34.9,123.03344947735191
57.4,159.6,33.9,93.6,80.4,98.9,103.3,57.3,35.0,32.6,19.5,24.5,14.6,15.1,51.9,23.6,75.8,41.0,38.3,24.8,55.4,38.5,132.7418181818182
81.5,166.5,39.4,106.5,92.5,108.8,115.4,69.3,41.8,41.2,23.0,30.2,16.4,15.5,57.5,25.4,77.5,43.0,38.5,26.4,56.1,39.4,138.24519230769232
61.8,161.7,34.2,89.0,80.5,99.3,102.1,60.8,37.4,37.8,21.6,24.9,14.9,17.2,53.5,24.1,77.6,41.3,38.2,23.0,55.2,37.4,116.9810606060606
64.5,155.5,35.7,90.0,81.1,104.2,105.7,63.9,40.9,39.4,22.4,26.0,14.9,15.0,53.5,24.8,77.1,36.1,37.9,24.6,55.4,35.9,131.1740890688259
55.7,157.8,33.8,86.2,75.7,96.9,95.4,57.3,38.9,36.3,20.7,25.1,14.5,14.0,50.0,21.3,72.9,41.9,36.0,21.4,53.7,34.1,117.7284046692607
61.4,158.1,34.9,89.6,83.9,96.7,99.0,59.5,39.0,36.7,22.2,23.8,14.9,14.1,53.4,23.7,71.8,45.2,36.9,23.8,56.4,36.0,120.70641509433963
66.8,169.8,36.4,94.3,82.1,105.1,103.7,62.6,38.0,36.2,20.8,25.2,15.0,15.7,55.7,25.1,76.2,44.0,41.2,23.9,54.5,38.0,128.125
73.0,155.4,37.7,109.2,100.1,102.8,108.4,63.5,41.6,37.6,21.5,28.0,15.5,14.2,51.1,22.7,70.5,43.9,38.3,28.9,54.9,36.0,129.6521739130435
73.7,175.6,37.2,92.0,86.0,104.5,104.6,63.2,41.0,40.5,22.3,27.2,15.0,14.4,57.3,26.2,83.5,44.5,42.5,24.1,57.5,38.7,127.66666666666666
69.3,156.6,40.3,107.1,92.2,101.6,109.4,61.3,39.2,35.4,19.7,26.2,15.2,13.3,52.0,23.7,71.4,43.4,35.5,29.7,56.0,35.4,141.34285714285713
75.7,165.1,37.5,100.1,101.2,105.7,105.5,67.7,44.3,39.3,20.8,27.9,15.3,14.4,56.2,26.4,81.6,44.6,40.1,26.0,59.9,37.2,126.06450511945393
74.0,158.5,37.6,112.6,98.1,104.9,112.0,63.2,41.0,37.7,20.0,28.9,15.3,14.9,51.9,23.1,72.3,42.7,36.9,28.1,55.0,37.9,147.74267515923566
68.2,165.7,36.0,98.2,87.0,103.0,102.5,61.3,39.5,36.7,21.2,26.3,16.1,14.1,55.7,24.8,80.8,40.4,40.7,26.7,56.4,36.6,131.52418772563175
86.7,171.9,37.9,106.9,93.1,120.0,115.5,68.6,41.1,39.9,23.7,27.4,16.7,17.1,58.9,26.1,80.8,40.8,37.4,27.5,58.0,41.0,130.19871794871796
